# w      Rpp                     Rps                     Rsp                     Rss
01.72    8.82013705542268e+01    9.83415891708931e+01    2.87973076142347e+00    1.33679813928737e+01
01.73    9.01033285349793e+01    1.01272224500612e+02    3.15165607312867e+00    1.37368205344771e+01
01.74    9.22315640941458e+01    1.03715742516088e+02    3.44805025637397e+00    1.40377973834768e+01
01.75    9.46326809755200e+01    1.05558734122415e+02    3.76573238232147e+00    1.42560162129177e+01
01.76    9.72458067293743e+01    1.06672955099196e+02    4.09962793679383e+00    1.43746150838712e+01
01.77    9.99332217347781e+01    1.06933655520210e+02    4.44295814377642e+00    1.43775818524844e+01
01.78    1.02488159629413e+02    1.06218659785028e+02    4.78648179431908e+00    1.42491952560622e+01
01.79    1.04702080097998e+02    1.04442778869517e+02    5.11931905341072e+00    1.39790093050488e+01
01.80    1.06410886905261e+02    1.01566609231979e+02    5.42923793114222e+00    1.35627555661407e+01
01.81    1.07540861078187e+02    9.76164324837811e+01    5.70360862578332e+00    1.30049307929747e+01
01.82    1.08124970310997e+02    9.26927827824903e+01    5.93079118577057e+00    1.23198921365207e+01
01.83    1.08336433495077e+02    8.69707761868554e+01    6.10172325731234e+00    1.15319125659996e+01
01.84    1.08471075475957e+02    8.06803862219657e+01    6.20998615912115e+00    1.06721307728745e+01
01.85    1.08911503352591e+02    7.40922131480936e+01    6.25296764541413e+00    9.77685799478220e+00
01.86    1.10111196509875e+02    6.74861291298820e+01    6.23160296420251e+00    8.88331399374009e+00
01.87    1.12508693449374e+02    6.11179709324258e+01    6.14923924849977e+00    8.02510022598577e+00
01.88    1.16502180412719e+02    5.51967972058289e+01    6.01140143948371e+00    7.22942911083878e+00
01.89    1.22395972970451e+02    4.98647761146426e+01    5.82489911922820e+00    6.51451247325645e+00
01.90    1.30359098410934e+02    4.51860573781740e+01    5.59678643685656e+00    5.88814447301790e+00
01.91    1.40414208533077e+02    4.11535120402166e+01    5.33441570641730e+00    5.34876669150537e+00
01.92    1.52459797978856e+02    3.77062095561301e+01    5.04550762100899e+00    4.88786762217267e+00
01.93    1.66293816606120e+02    3.47490551996304e+01    4.73809992850672e+00    4.49260474468018e+00
01.94    1.81647915509705e+02    3.21762758540296e+01    4.41991373208701e+00    4.14881697527150e+00
01.95    1.98258962468035e+02    2.98931388110153e+01    4.09904319212374e+00    3.84399414518003e+00
01.96    2.15881608956104e+02    2.78239505178703e+01    3.78209960220073e+00    3.56809557061246e+00
01.97    2.34345407913671e+02    2.59178902143101e+01    3.47482909400388e+00    3.31445671359741e+00
01.98    2.53515990540593e+02    2.41410966538630e+01    3.18052419426852e+00    3.07857106503677e+00
01.99    2.73313788971063e+02    2.24719813372780e+01    2.90057473678810e+00    2.85758597301582e+00
02.00    2.93639692948475e+02    2.08888867182734e+01    2.63413686197179e+00    2.64864748196179e+00
02.01    3.14347266399201e+02    1.93673041364425e+01    2.37885207938237e+00    2.44858115487006e+00
02.02    3.35184347333708e+02    1.78756379425112e+01    2.13142817024706e+00    2.25333843112524e+00
02.03    3.55769949692705e+02    1.63806662766652e+01    1.88893492135779e+00    2.05874370899841e+00
02.04    3.75536629610191e+02    1.48511168680284e+01    1.64934215801651e+00    1.86087918459421e+00
02.05    3.93794152953305e+02    1.32688053237554e+01    1.41267428982087e+00    1.65753820608759e+00
