# w(eV)  Rpp                     Rps                     Rsp                     Rss
00.98    1.07560671540544e+30    7.84156956921015e+28    7.17492886228114e+25    1.24093324003976e+28
00.99    1.10747349422687e+30    8.42253075094644e+28    7.40612291705297e+25    1.33143289879030e+28
01.00    1.14091048913925e+30    9.05958372274912e+28    7.67482950154430e+25    1.43056632592334e+28
01.01    1.17607645019467e+30    9.76036968635652e+28    8.02400224507092e+25    1.53952081504400e+28
01.02    1.21301116202244e+30    1.05327476809860e+29    8.50913430574430e+25    1.65948156170604e+28
01.03    1.25184981904010e+30    1.13867286445625e+29    9.19870915244348e+25    1.79199880515672e+28
01.04    1.29263693430190e+30    1.23339184452599e+29    1.01679062324974e+26    1.93884056634774e+28
01.05    1.33542056504698e+30    1.33890432101043e+29    1.14934955542506e+26    2.10225263107387e+28
01.06    1.38036775377102e+30    1.45722897109246e+29    1.32471781442188e+26    2.28535751104408e+28
01.07    1.42762077567904e+30    1.59087325014120e+29    1.54831170392141e+26    2.49199599152365e+28
01.08    1.47741882342883e+30    1.74315233789672e+29    1.82286552442059e+26    2.72724851358899e+28
01.09    1.53022682792156e+30    1.91826081215747e+29    2.14761571409188e+26    2.99758431066298e+28
01.10    1.58656838421328e+30    2.12118586119756e+29    2.51753824495837e+26    3.31061867268511e+28
01.11    1.64726375097510e+30    2.35787579965649e+29    2.92362039609041e+26    3.67546805710425e+28
01.12    1.71333505578986e+30    2.63497284916984e+29    3.35292615128636e+26    4.10226597857504e+28
01.13    1.78595704396195e+30    2.95941233616425e+29    3.78950456191143e+26    4.60152261320103e+28
01.14    1.86658991822360e+30    3.33832758073765e+29    4.21594919636360e+26    5.18406478827308e+28
01.15    1.95655034530593e+30    3.77798367879026e+29    4.61337647616813e+26    5.85918604602918e+28
01.16    2.05733366797895e+30    4.28372064019200e+29    4.96293026954065e+26    6.63485084231748e+28
01.17    2.16996180310347e+30    4.85874371646225e+29    5.24452693611402e+26    7.51552828702801e+28
01.18    2.29511117248466e+30    5.50348949558362e+29    5.43753972141331e+26    8.50147171073654e+28
